股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
600072	中船科技	25.21	+9.99	20.82	151.28	4.60	船舶制造	[]	0	2023-04-01	0	0	0.45	--	--
600073	上海梅林	8.08	-1.94	1.64	15.11	1.55	肉制品	[]	0	2023-03-30	0	0	1.61	--	--
600075	新疆天业	5.12	-0.58	0.61	16.31	0.85	氯碱	[]	0	2023-04-20	0	0	1	--	--
600076	康欣新材	2.87	0.00	0.38	--	0.84	包装印刷	[]	0	2023-04-22	0	0	0	--	--
600077	*ST宋都	1.42	-4.70	0.33	--	2.67	房地产开发	[]	0	2023-04-29	0	0	0	--	--
600078	ST澄星	9.05	-5.04	0.57	12.66	3.00	磷化工及磷酸盐	[]	0	2023-03-29	0	0	0.8	--	--
600079	人福医药	27.18	-2.23	0.68	19.85	2.82	化学制剂	[]	0	2023-03-24	0	0	1.6	--	--
600080	金花股份	7.47	-1.97	0.84	96.62	1.65	中药	[]	0	2023-04-28	0	0	0	--	--
600081	东风科技	11.11	+1.74	1.27	73.04	1.63	汽车零部件	[]	0	2023-03-31	0	0	0.7	--	--
600082	海泰发展	3.21	+1.26	1.30	107.52	1.18	园区开发	[]	0	2023-04-28	0	0	0	--	--
600083	博信股份	6.78	-1.74	0.74	178.01	19.78	综合	[]	0	2023-04-28	0	0	0	--	--
600084	中葡股份	7.83	+0.13	0.36	--	6.82	葡萄酒	[]	0	2023-04-26	0	0	0	--	--
600085	同仁堂	61.10	-2.58	0.81	54.09	6.81	中药	['全国社保基金五零三组合']	1	2023-03-28	0	0	3.2	--	--
600088	中视传媒	13.11	+0.38	10.53	--	5.15	传媒	[]	0	2023-04-21	0	0	0	--	--
600089	特变电工	22.93	+0.13	1.51	5.10	1.50	高压设备	[]	0	2023-04-25	0	3	11.2	--	--
600094	大名城	3.18	+1.27	0.64	22.14	0.63	房地产开发	[]	0	2023-04-15	0	0	0	--	--
600095	湘财股份	8.41	0.00	5.52	--	1.99	证券	[]	0	2023-04-17	0	0	0.69	--	--
600096	云天化	18.58	-3.03	1.29	5.73	1.90	化工	[]	0	2023-04-15	0	0	10	--	--
600097	开创国际	9.87	-2.08	2.42	24.46	1.94	海洋捕捞	[]	0	2023-04-01	0	0	1.33	--	--
600098	广州发展	6.32	-1.25	1.30	14.91	0.91	火电	[]	0	2023-04-08	0	0	2	--	--
600099	林海股份	8.45	-0.94	0.73	194.08	3.67	其他交运设备	[]	0	2023-03-25	0	0	0.3	--	--
600100	同方股份	9.11	+5.93	10.03	548.06	2.01	计算机设备	[]	0	2023-04-29	0	0	0	--	--
600101	明星电力	8.95	-0.78	1.81	21.49	1.38	水电	[]	0	2023-04-01	0	0	0.8	--	--
600103	青山纸业	2.61	-0.76	1.67	29.65	1.53	造纸	[]	0	2023-04-25	0	0	0.5	--	--
600104	上汽集团	13.85	-0.72	0.21	12.09	0.58	乘用车	[]	0	2023-04-29	0	0	3.37	--	--
600105	永鼎股份	6.24	-9.96	17.59	37.18	2.96	通信传输设备	[]	0	2023-04-18	0	0	0	--	--
600106	重庆路桥	4.87	-2.60	0.76	29.32	1.42	高速公路	[]	0	2023-04-29	0	0	0.46	--	--
600107	美尔雅	5.85	-0.17	0.72	--	3.37	男装	[]	0	2023-04-29	0	0	0	--	--
600108	亚盛集团	3.18	+0.32	1.10	78.70	1.51	其他种植业	[]	0	2023-04-26	0	0	0.04	--	--
600109	国金证券	9.43	0.00	2.40	21.01	1.11	证券	[]	0	2023-04-26	0	0	0.4	--	--
600110	诺德股份	7.10	-1.53	0.74	45.00	1.95	其他电子	[]	0	2023-04-29	0	0	1	--	--
