股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
300061	旗天科技	7.35	-3.03	3.43	111.50	3.95	营销服务	[]	0	2023-04-27	0	0	0	--	--
300062	中能电气	6.01	-1.48	1.55	80.90	2.67	中压设备	[]	0	2023-04-05	0	0	0.1	--	--
300063	天龙集团	4.93	-5.19	12.74	35.43	2.37	营销服务	[]	0	2023-04-24	0	0	0	--	--
300065	海兰信	14.27	-1.59	2.38	--	5.29	船舶制造	[]	0	2023-04-22	0	0	0	--	--
300066	三川智慧	5.01	-0.79	0.83	26.39	2.30	仪器仪表	[]	0	2023-05-05	0	0	0.3	2023-05-12	2023-05-11
300067	安诺其	2.99	-0.99	0.58	--	1.35	纺织化学用品	[]	0	2023-04-27	0	0	0	--	--
300068	南都电源	19.96	-0.45	2.84	--	3.27	储能设备	[]	0	2023-04-22	0	0	0	--	--
300069	金利华电	13.94	-0.50	0.71	--	7.09	线缆部件及其他	[]	0	2023-04-27	0	0	0	--	--
300070	碧水源	5.61	+0.90	1.41	28.28	0.75	环保工程及服务	[]	0	2023-04-07	0	0	0.3	--	--
300071	福石控股	4.40	-2.22	2.92	--	19.04	营销服务	[]	0	2023-04-27	0	0	0	--	--
300072	海新能科	3.68	+0.27	0.61	--	1.26	其他化学制品	[]	0	2023-04-07	0	0	0	--	--
300073	当升科技	51.78	-2.12	1.30	11.39	2.20	其他化学制品	[]	0	2023-04-10	0	0	6.68	--	--
300074	华平股份	4.15	-0.72	2.48	--	2.12	软件开发	[]	0	2023-04-28	0	0	0	--	--
300075	数字政通	25.55	+4.89	12.61	48.88	3.36	软件开发	[]	0	2023-04-20	0	2	0.5	--	--
300076	GQY视讯	4.90	-0.61	1.40	--	2.07	显示器件	[]	0	2023-04-24	0	0	0	--	--
300077	国民技术	14.07	-0.50	1.89	--	5.26	集成电路	[]	0	2023-04-17	0	0	0	--	--
