股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
1	平安银行	12.91	+1.41	0.91	5.30	0.66	银行	['全国社保基金一零一组合']	1	2023-03-09	0	0	2.85	--	--
2	万 科Ａ	15.54	+3.95	1.54	8.19	0.75	房地产开发	[]	0	2023-03-31	0	0	6.8	--	--
4	ST国华	11.24	+1.90	4.76	--	4.33	IT服务	[]	0	2023-04-29	0	0	0	--	--
5	ST星源	1.66	-1.78	0.97	--	1.45	环保工程及服务	[]	0	2023-04-29	0	0	0	--	--
6	深振业Ａ	4.93	+1.65	1.66	18.33	0.84	房地产开发	[]	0	2023-04-28	0	0	0.94	--	--
7	*ST全新	5.18	-4.95	0.04	--	19.88	一般物业经营	[]	0	2023-04-29	0	0	0	--	--
8	神州高铁	2.52	+1.20	2.27	--	1.58	铁路设备	[]	0	2023-04-22	0	0	0	--	--
9	中国宝安	10.46	-0.76	0.53	21.92	2.86	综合	[]	0	2023-04-15	0	0	0.35	--	--
10	美丽生态	2.62	+0.38	1.94	--	4.09	园林工程	[]	0	2023-04-28	0	0	0	--	--
11	深物业A	9.99	+1.42	1.04	17.96	1.34	房地产开发	[]	0	2023-03-25	0	0	3.61	--	--
12	南 玻Ａ	6.52	-0.15	0.82	9.77	1.51	玻璃制造	[]	0	2023-04-26	0	0	1.5	--	--
14	沙河股份	10.84	+6.90	12.88	6.65	1.98	房地产开发	[]	0	2023-03-31	0	0	1.2	--	--
16	深康佳Ａ	4.76	-1.24	0.77	--	1.47	彩电	[]	0	2023-03-28	0	0	0	--	--
17	深中华A	4.34	-0.23	1.23	--	10.21	其他交运设备	[]	0	2023-04-25	0	0	0	--	--
19	深粮控股	7.65	-0.65	1.07	22.69	1.81	贸易	[]	0	2023-04-26	0	0	2.5	--	--
20	深华发Ａ	9.76	-0.61	0.81	259.50	7.68	电子系统组装	[]	0	2023-04-25	0	0	0	--	--
21	深科技	16.60	-1.19	3.75	50.02	2.49	电子系统组装	[]	0	2023-04-21	0	0	1.3	--	--
23	ST深天	8.25	-4.95	0.06	--	9.43	其他建材	[]	0	2023-04-29	0	0	0	--	--
25	特 力Ａ	17.27	+1.11	1.16	99.31	4.86	汽车服务	[]	0	2023-04-27	0	0	0.28	--	--
26	飞亚达	11.75	-0.84	1.11	17.31	1.51	珠宝首饰	[]	0	2023-03-18	0	0	2.5	--	--
27	深圳能源	6.64	+1.53	0.75	13.65	1.09	火电	[]	0	2023-04-20	0	0	1.4	--	--
28	国药一致	61.40	-4.06	1.68	16.46	1.59	医药商业	['全国社保基金四一三组合']	1	2023-04-13	0	3	8	--	--
29	深深房Ａ	11.03	+2.51	0.61	--	2.81	房地产开发	[]	0	2023-03-18	0	0	0.61	--	--
30	富奥股份	4.72	0.00	0.52	14.71	1.09	汽车零部件	[]	0	2023-04-20	0	0	2.5	--	--
31	大悦城	3.96	+3.39	0.88	--	1.08	房地产开发	[]	0	2023-04-26	0	0	0	--	--
32	深桑达Ａ	32.00	+3.90	5.71	--	5.88	终端设备	[]	0	2023-04-26	0	0	0.8	--	--
34	神州数码	26.92	-1.39	2.92	17.56	2.30	IT服务	[]	0	2023-04-28	0	0	4.4582	2023-05-10	2023-05-09
35	中国天楹	4.72	-0.42	0.68	93.99	1.15	环保工程及服务	[]	0	2023-04-29	0	0	0	--	--
36	华联控股	4.12	+0.73	1.31	14.20	1.15	房地产开发	[]	0	2023-04-14	0	0	0.34	--	--
37	深南电A	7.50	0.00	0.54	--	3.17	燃机发电	[]	0	2023-04-07	0	0	0	--	--
38	*ST大通			0.00	--	0.76	营销服务	[]	0	2022-04-30	0	0	0	--	--
39	中集集团	6.99	-0.29	0.52	22.53	0.81	金属制品	[]	0	2023-03-29	0	0	1.8	--	--
40	东旭蓝天	4.20	-0.94	1.96	--	0.55	新能源发电	[]	0	2023-04-28	0	0	0	--	--
42	中洲控股	8.47	+0.71	0.70	54.03	0.73	房地产开发	[]	0	2023-04-12	0	0	0.12	--	--
45	深纺织Ａ	9.92	-0.90	0.86	73.04	1.76	显示器件	[]	0	2023-04-04	0	0	0.6	--	--
46	*ST泛海	0.90	+4.65	3.99	--	--	多元金融	[]	0	2023-04-29	0	0	0	--	--
48	京基智农	21.51	-1.78	1.06	5.27	2.93	饲料	[]	0	2023-04-29	0	0	10	2023-05-10	2023-05-09
49	德赛电池	35.22	-1.73	1.60	13.42	2.53	电子系统组装	['全国社保基金四零一组合']	1	2023-04-28	0	0	6.5	--	--
50	深天马Ａ	8.80	-0.79	0.77	--	0.74	显示器件	[]	0	2023-03-15	0	0	0	--	--
55	方大集团	4.97	+0.40	1.62	17.22	0.93	其他专业工程	[]	0	2023-03-27	0	0	0.5	2023-04-03	2023-03-31
56	皇庭国际	4.23	0.00	4.49	--	2.56	房地产开发	[]	0	2023-04-29	0	0	0	--	--
58	深 赛 格	6.33	+0.48	0.58	520.96	3.97	商业贸易	[]	0	2023-04-27	0	0	0.1	--	--
59	华锦股份	6.91	-1.57	0.72	--	0.79	石油加工	['全国社保基金一一八组合']	1	2023-04-14	0	0	1.32	--	--
60	中金岭南	5.03	-1.95	1.08	15.67	1.31	铅锌	['全国社保基金四一三组合']	1	2023-04-10	0	0	1	--	--
