股票id	股票名	价格	涨跌幅(%)	换手率(%)	市盈率	市净率	行业板块	社保基金	社保基金数	公告日期	送股	转股	派息	除权日	登记日
605001	威奥股份	6.77	-0.15	1.14	--	1.08	铁路设备	[]	0	2023-04-27	0	0	0	--	--
605003	众望布艺	19.08	+0.32	1.47	30.06	1.83	家纺	[]	0	2023-04-27	0	0	4.1	--	--
605005	合兴股份	14.75	-0.87	1.11	30.57	3.63	汽车零部件	[]	0	2023-03-31	0	0	1.5	--	--
605006	山东玻纤	7.98	-0.37	0.49	10.83	1.70	玻纤	[]	0	2023-04-18	0	0	2.68	--	--
605007	五洲特纸	17.14	+2.15	3.51	94.96	3.40	造纸	[]	0	2023-04-21	0	0	1.6	--	--
605008	长鸿高科	14.82	-1.07	0.69	55.85	4.57	其他塑料制品	[]	0	2023-04-27	0	0	0	--	--
605009	豪悦护理	52.57	-4.45	5.27	18.24	2.64	造纸	[]	0	2023-04-15	0	0	7.5	--	--
605011	杭州热电	15.04	+0.60	0.68	28.31	2.90	热电	[]	0	2023-04-18	0	0	1.6	--	--
605016	百龙创园	28.77	+2.02	1.80	33.05	3.68	其他农产品加工	[]	0	2023-04-28	0	4	1.7	--	--
605018	长华集团	9.87	-1.40	2.10	62.81	1.77	汽车零部件	[]	0	2023-04-26	0	0	0.5	--	--
605020	永和股份	40.42	-2.32	1.46	42.62	4.65	氟化工及制冷剂	['全国社保基金一一八组合']	1	2023-04-04	0	4	2.5	--	--
605028	世茂能源	16.75	-0.24	1.39	13.29	2.23	热电	[]	0	2023-04-18	0	0	3	2023-04-24	2023-04-21
605033	美邦股份	17.69	+0.45	1.54	19.88	2.11	农药	[]	0	2023-04-20	0	0	2.2	--	--
605050	福然德	12.56	-1.18	0.53	19.35	1.54	物流	[]	0	2023-04-18	0	0	3	--	--
605055	迎丰股份	5.73	+0.35	1.85	--	2.29	印染	[]	0	2023-04-27	0	0	0	--	--
605056	咸亨国际	12.47	-1.11	0.49	25.32	3.26	仪器仪表	[]	0	2023-04-20	0	0	3.5	--	--
605058	澳弘电子	20.09	+0.45	2.86	22.05	1.84	印制电路板	[]	0	2023-03-23	0	0	3	--	--
605060	联德股份	27.02	-0.77	1.47	24.41	3.08	机械基础件	[]	0	2023-05-05	0	0	3.4	2023-05-11	2023-05-10
605066	天正电气	8.67	+4.33	9.20	39.96	1.91	低压设备	[]	0	2023-04-28	0	0	2.5	--	--
